Country Name,Country Code,Year,Population
Aruba,ABW,1960,54922.0
Africa Eastern and Southern,AFE,1960,130075728.0
Afghanistan,AFG,1960,9035043.0
Africa Western and Central,AFW,1960,97630925.0
Angola,AGO,1960,5231654.0
Albania,ALB,1960,1608800.0
Andorra,AND,1960,9510.0
Arab World,ARB,1960,91540853.0
United Arab Emirates,ARE,1960,131334.0
Argentina,ARG,1960,20386045.0
Armenia,ARM,1960,1863705.0
American Samoa,ASM,1960,20133.0
Antigua and Barbuda,ATG,1960,55603.0
Australia,AUS,1960,10276477.0
Austria,AUT,1960,7047539.0
Azerbaijan,AZE,1960,3894500.0
Burundi,BDI,1960,2764258.0
Belgium,BEL,1960,9153489.0
Benin,BEN,1960,2517286.0
Burkina Faso,BFA,1960,4778621.0
Bangladesh,BGD,1960,51828660.0
Bulgaria,BGR,1960,7867374.0
Bahrain,BHR,1960,165477.0
"Bahamas, The",BHS,1960,116317.0
Bosnia and Herzegovina,BIH,1960,3281381.0
Belarus,BLR,1960,8198000.0
Belize,BLZ,1960,91318.0
Bermuda,BMU,1960,42208.0
Bolivia,BOL,1960,3702323.0
Brazil,BRA,1960,72388126.0
Barbados,BRB,1960,230893.0
Brunei Darussalam,BRN,1960,88347.0
Bhutan,BTN,1960,224084.0
Botswana,BWA,1960,516165.0
Central African Republic,CAF,1960,1702346.0
Canada,CAN,1960,17909356.0
Central Europe and the Baltics,CEB,1960,91401309.0
Switzerland,CHE,1960,5327827.0
Channel Islands,CHI,1960,110808.0
Chile,CHL,1960,8153350.0
China,CHN,1960,667070000.0
Cote d'Ivoire,CIV,1960,3673666.0
Cameroon,CMR,1960,5159057.0
"Congo, Dem. Rep.",COD,1960,15264846.0
"Congo, Rep.",COG,1960,1056732.0
Colombia,COL,1960,15606209.0
Comoros,COM,1960,197700.0
Cabo Verde,CPV,1960,210024.0
Costa Rica,CRI,1960,1327496.0
Caribbean small states,CSS,1960,2558348.0
Cuba,CUB,1960,7238081.0
Curacao,CUW,1960,124826.0
Cayman Islands,CYM,1960,8428.0
Cyprus,CYP,1960,586490.0
Czechia,CZE,1960,9602006.0
Germany,DEU,1960,72814900.0
Djibouti,DJI,1960,86024.0
Dominica,DMA,1960,59372.0
Denmark,DNK,1960,4579603.0
Dominican Republic,DOM,1960,3268336.0
Algeria,DZA,1960,11424922.0
East Asia & Pacific (excluding high income),EAP,1960,895961535.0
Early-demographic dividend,EAR,1960,968909356.0
East Asia & Pacific,EAS,1960,1042818620.0
Europe & Central Asia (excluding high income),ECA,1960,128810451.0
Europe & Central Asia,ECS,1960,667887356.0
Ecuador,ECU,1960,4590891.0
"Egypt, Arab Rep.",EGY,1960,26896479.0
Euro area,EMU,1960,270148970.0
Eritrea,ERI,1960,972547.0
Spain,ESP,1960,30455000.0
Estonia,EST,1960,1211537.0
Ethiopia,ETH,1960,21376693.0
European Union,EUU,1960,357710476.0
Fragile and conflict affected situations,FCS,1960,245446477.0
Finland,FIN,1960,4429634.0
Fiji,FJI,1960,404887.0
France,FRA,1960,47412964.0
Faroe Islands,FRO,1960,34127.0
"Micronesia, Fed. Sts.",FSM,1960,43061.0
Gabon,GAB,1960,512316.0
United Kingdom,GBR,1960,52400000.0
Georgia,GEO,1960,3645600.0
Ghana,GHA,1960,6961215.0
Gibraltar,GIB,1960,21839.0
Guinea,GIN,1960,3556749.0
"Gambia, The",GMB,1960,398060.0
Guinea-Bissau,GNB,1960,577633.0
Equatorial Guinea,GNQ,1960,269807.0
Greece,GRC,1960,8331725.0
Grenada,GRD,1960,94058.0
Greenland,GRL,1960,32500.0
Guatemala,GTM,1960,4063655.0
Guam,GUM,1960,69525.0
Guyana,GUY,1960,569143.0
High income,HIC,1960,908257300.0
"Hong Kong SAR, China",HKG,1960,3094840.0
Honduras,HND,1960,2062060.0
Heavily indebted poor countries (HIPC),HPC,1960,163650527.0
Croatia,HRV,1960,4140181.0
Haiti,HTI,1960,3858443.0
Hungary,HUN,1960,9983512.0
IBRD only,IBD,1960,1893704624.0
IDA & IBRD total,IBT,1960,2289192009.0
IDA total,IDA,1960,395487385.0
IDA blend,IDB,1960,124475467.0
Indonesia,IDN,1960,88296070.0
IDA only,IDX,1960,271011918.0
Isle of Man,IMN,1960,48868.0
India,IND,1960,435990338.0
Ireland,IRL,1960,2828600.0
"Iran, Islamic Rep.",IRN,1960,21470434.0
Iraq,IRQ,1960,7022052.0
Iceland,ISL,1960,175574.0
Israel,ISR,1960,2114020.0
Italy,ITA,1960,50199700.0
Jamaica,JAM,1960,1650005.0
Jordan,JOR,1960,853471.0
Japan,JPN,1960,93216000.0
Kazakhstan,KAZ,1960,9429981.0
Kenya,KEN,1960,7695307.0
Kyrgyz Republic,KGZ,1960,2172300.0
Cambodia,KHM,1960,5449966.0
Kiribati,KIR,1960,47157.0
St. Kitts and Nevis,KNA,1960,55810.0
"Korea, Rep.",KOR,1960,25012374.0
Kuwait,KWT,1960,311060.0
Latin America & Caribbean (excluding high income),LAC,1960,192855898.0
Lao PDR,LAO,1960,2121514.0
Lebanon,LBN,1960,1794406.0
Liberia,LBR,1960,1139522.0
Libya,LBY,1960,1492890.0
St. Lucia,LCA,1960,92585.0
Latin America & Caribbean,LCN,1960,218624695.0
Least developed countries: UN classification,LDC,1960,245048596.0
Low income,LIC,1960,114749038.0
Liechtenstein,LIE,1960,16451.0
Sri Lanka,LKA,1960,9661389.0
Lower middle income,LMC,1960,819316105.0
Low & middle income,LMY,1960,2083718515.0
Lesotho,LSO,1960,736500.0
Late-demographic dividend,LTE,1960,1094883717.0
Lithuania,LTU,1960,2778550.0
Luxembourg,LUX,1960,313970.0
Latvia,LVA,1960,2120979.0
"Macao SAR, China",MAC,1960,173315.0
St. Martin (French part),MAF,1960,4250.0
Morocco,MAR,1960,11624933.0
Monaco,MCO,1960,21808.0
Moldova,MDA,1960,2058020.0
Madagascar,MDG,1960,5111029.0
Maldives,MDV,1960,91189.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1960,157933392.0
Mexico,MEX,1960,36724615.0
Marshall Islands,MHL,1960,14703.0
Middle income,MIC,1960,1968969477.0
North Macedonia,MKD,1960,1435059.0
Mali,MLI,1960,5402550.0
Malta,MLT,1960,326550.0
Myanmar,MMR,1960,21730250.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1960,151883053.0
Montenegro,MNE,1960,480579.0
Mongolia,MNG,1960,977595.0
Northern Mariana Islands,MNP,1960,8736.0
Mozambique,MOZ,1960,6713695.0
Mauritania,MRT,1960,824298.0
Mauritius,MUS,1960,680331.0
Malawi,MWI,1960,3628134.0
Malaysia,MYS,1960,7956197.0
North America,NAC,1960,198622564.0
Namibia,NAM,1960,591465.0
New Caledonia,NCL,1960,79819.0
Niger,NER,1960,3505050.0
Nigeria,NGA,1960,45053782.0
Nicaragua,NIC,1960,1782370.0
Netherlands,NLD,1960,11486631.0
Norway,NOR,1960,3581239.0
Nepal,NPL,1960,10123658.0
Nauru,NRU,1960,4607.0
New Zealand,NZL,1960,2371800.0
OECD members,OED,1960,809580211.0
Oman,OMN,1960,530485.0
Other small states,OSS,1960,5297024.0
Pakistan,PAK,1960,45709310.0
Panama,PAN,1960,1126005.0
Peru,PER,1960,10174127.0
Philippines,PHL,1960,27891897.0
Palau,PLW,1960,9328.0
Papua New Guinea,PNG,1960,1995110.0
Poland,POL,1960,29637450.0
Pre-demographic dividend,PRE,1960,188920253.0
Puerto Rico (US),PRI,1960,2358000.0
"Korea, Dem. People's Rep.",PRK,1960,11722953.0
Portugal,PRT,1960,8857716.0
Paraguay,PRY,1960,1883514.0
West Bank and Gaza,PSE,1960,
Pacific island small states,PSS,1960,912120.0
Post-demographic dividend,PST,1960,756359099.0
French Polynesia,PYF,1960,83671.0
Qatar,QAT,1960,36010.0
Romania,ROU,1960,18406905.0
Russian Federation,RUS,1960,119897000.0
Rwanda,RWA,1960,3022294.0
South Asia,SAS,1960,507919318.0
Saudi Arabia,SAU,1960,2435403.0
Sudan,SDN,1960,8364489.0
Senegal,SEN,1960,3340907.0
Singapore,SGP,1960,1646400.0
Solomon Islands,SLB,1960,139688.0
Sierra Leone,SLE,1960,2268356.0
El Salvador,SLV,1960,2791459.0
San Marino,SMR,1960,15428.0
Somalia,SOM,1960,2876331.0
Serbia,SRB,1960,6638992.0
Sub-Saharan Africa (excluding high income),SSA,1960,206288260.0
South Sudan,SSD,1960,2931559.0
Sub-Saharan Africa,SSF,1960,227706653.0
Small states,SST,1960,8767492.0
Sao Tome and Principe,STP,1960,68012.0
Suriname,SUR,1960,263918.0
Slovak Republic,SVK,1960,4068095.0
Slovenia,SVN,1960,1584720.0
Sweden,SWE,1960,7484656.0
Eswatini,SWZ,1960,345337.0
Sint Maarten (Dutch part),SXM,1960,2715.0
Seychelles,SYC,1960,41700.0
Syrian Arab Republic,SYR,1960,4673500.0
Turks and Caicos Islands,TCA,1960,5599.0
Chad,TCD,1960,3049838.0
East Asia & Pacific (IDA & IBRD countries),TEA,1960,884252517.0
Europe & Central Asia (IDA & IBRD countries),TEC,1960,308759361.0
Togo,TGO,1960,1673110.0
Thailand,THA,1960,26851747.0
Tajikistan,TJK,1960,2112131.0
Turkmenistan,TKM,1960,1643457.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,208671107.0
Timor-Leste,TLS,1960,468118.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1960,151883053.0
Tonga,TON,1960,66170.0
South Asia (IDA & IBRD),TSA,1960,507919318.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,227706653.0
Trinidad and Tobago,TTO,1960,844943.0
Tunisia,TUN,1960,4267288.0
Turkiye,TUR,1960,28329898.0
Tuvalu,TUV,1960,5598.0
Tanzania,TZA,1960,9901419.0
